,equity,ret,turnover,long_n,short_n
2019-05-31 00:00:00+00:00,997081.0104547985,0.0,1.0,1,1
2019-06-03 00:00:00+00:00,987785.3835715746,-0.009322840156171353,0.0,0,0
2019-06-04 00:00:00+00:00,967429.3413626266,-0.020607758069213222,0.0,0,0
2019-06-05 00:00:00+00:00,983733.954636141,0.016853544312134705,0.0,0,0
2019-06-06 00:00:00+00:00,982809.0635829272,-0.0009401841309379932,0.0,0,0
2019-06-07 00:00:00+00:00,990693.8535322823,0.008022707809195673,0.0,0,0
2019-06-10 00:00:00+00:00,985242.5422984929,-0.0055025184766747115,0.0,0,0
2019-06-11 00:00:00+00:00,975685.1957909433,-0.009700501244346404,0.0,0,0
2019-06-12 00:00:00+00:00,988156.7490507403,0.012782353687027959,0.0,0,0
2019-06-13 00:00:00+00:00,984313.7974806371,-0.003889010092573697,0.0,0,0
2019-06-14 00:00:00+00:00,996814.1064190444,0.012699516120166177,0.0,0,0
2019-06-17 00:00:00+00:00,996975.4198453325,0.0001618289962483921,0.0,0,0
2019-06-18 00:00:00+00:00,978661.6290251896,-0.01836935039279508,0.0,0,0
2019-06-19 00:00:00+00:00,979812.2511775043,0.0011757098860214477,0.0,0,0
2019-06-20 00:00:00+00:00,981225.9552664928,0.0014428316111474437,0.0,0,0
2019-06-21 00:00:00+00:00,988747.5347517206,0.007665491770634025,0.0,0,0
2019-06-24 00:00:00+00:00,988739.2724232113,-8.35635813889457e-06,0.0,0,0
2019-06-25 00:00:00+00:00,976952.276118368,-0.011921238119687039,0.0,0,0
2019-06-26 00:00:00+00:00,953694.6413790447,-0.023806316140365213,0.0,0,0
2019-06-27 00:00:00+00:00,942591.1838576599,-0.01164257094422716,0.0,0,0
2019-06-28 00:00:00+00:00,939036.366242704,-0.0037713249135298277,0.0,0,0
2019-07-01 00:00:00+00:00,939518.5388466136,0.0005134759645559761,0.0,0,0
2019-07-02 00:00:00+00:00,953772.8730033039,0.015171956238553275,0.0,0,0
2019-07-03 00:00:00+00:00,955316.9285123282,0.001618892246497028,0.0,0,0
2019-07-05 00:00:00+00:00,961322.9742925942,0.0062869667656983985,0.0,0,0
